商品,销量标签
小茗同学冷泡茶（乳酸菌味）,滞销
经典奶茶,滞销
500ML宝矿力,滞销
500ml恒大冰泉矿泉水,滞销
脉动（椰子菠萝口味）,滞销
脉动（青柠）,滞销
250ml香满楼纯牛奶,滞销
旺仔牛奶145ml,滞销
芦荟汁,滞销
商品1,滞销
145ml旺仔牛奶罐装,滞销
250ml维他椰子植物蛋白饮料9374,滞销
农夫果园,正常
冰红茶（罐）,正常
乐虎,正常
可口可乐330ml（罐）,正常
燕塘甜牛奶,正常
500ml统一冰糖雪梨,正常
商品2,正常
旺仔牛奶,正常
可乐（500ml）,正常
250ml维他椰子味豆奶7716,正常
205ml安慕希蓝莓味,正常
维他奶（巧克力味）,正常
250ml维他椰子植物蛋白饮料,正常
250ml统一麦香奶茶,正常
雪碧,正常
统一阿萨姆奶茶,正常
250ml维他奶黑豆奶饮品,正常
500ml康师傅冰糖雪梨,正常
500ml营养快线原味,正常
安慕希酸奶,正常
怡宝矿泉水,正常
益力多100g*5瓶,正常
百事可乐500ml,正常
燕塘红枣牛奶,正常
尖叫,正常
燕塘原味酸奶,正常
椰树牌椰汁,正常
480ml小茗同学冷泡溜溜哒茶,正常
加多宝,正常
雪力矿泉水,正常
健能酸奶,正常
美汁源果粒橙,正常
250ml维他奶低糖原味,正常
芬达330ml,正常
80g香飘飘椰果奶茶原味,正常
康师傅矿泉水,正常
500ml农夫果园 (芒果+菠萝+番石榴),正常
250ml王老吉盒装,正常
阿萨姆煎茶奶绿,正常
怡宝,正常
乐虎（380ml）,正常
冰糖雪梨,正常
80g香飘飘椰果奶茶麦香味,正常
维他原味豆奶,正常
可乐可乐,正常
600ml雪碧,正常
雪碧330ml,正常
500ml加多宝,正常
雀巢咖啡,正常
100g*5瓶益力多,正常
450ml美汁源果粒橙,正常
250ML东鹏特饮,正常
180ml雀巢咖啡罐装,正常
250ml维他奶巧克力味,正常
150g健能酸奶原味,正常
茉莉蜜茶,正常
百事可乐330ml,正常
205g伊利安慕希原味,正常
480ml小茗同学冷泡青柠红茶,正常
500ml统一阿萨姆奶茶,正常
600ml脉动青柠,正常
330ml伊利畅意乳酸菌原味,正常
268ml雀巢咖啡丝滑拿铁,正常
可口可乐330ml,正常
维他奶,正常
600ml可口可乐,正常
250ml燕塘红枣牛奶,正常
维他柠檬茶,正常
250ml红牛,正常
250ml燕塘原味酸奶,正常
250ml燕塘甜牛奶,正常
伊利纯牛奶,正常
145ml旺仔牛奶盒装,正常
美年达（罐）,热销
银鹭八宝粥,热销
王老吉（500ml）,热销
250ml维他原味豆奶,热销
伊利优酸乳,热销
250ml维他柠檬茶,热销
雪碧（500ml）,热销
可口可乐最新款,热销
果粒橙,热销
可口可乐（500ml）,热销
王老吉（罐）,热销
雪碧最新款,热销
红牛,热销
统一绿茶,热销
脉动,热销
统一冰红茶,热销
营养快线,热销
阿萨姆奶茶,热销
怡宝纯净水,热销
东鹏特饮,热销
